sms_id,Texte_texte,Texte_profondeur_arbre_max,Texte_profondeur_arbre_moy,Texte_distance_dependance_max,Texte_distance_dependance_moy,Texte_distance_dependance_var,Texte_nb_dependances_moy_phrase,Texte_nb_dependances_var_phrase,Texte_nb_phrases,Texte_nb_tokens,divergence_score
1,"Dans le film Les Damnés – titre originellement en italien La Chute des dieux en référence à l'opéra éponyme de Richard Wagner – Luchino Visconti met en scène la famille Essenbeck, propriétaire d'une grande aciérie allemande qui collabore à la montée du nazisme au pouvoir dans les années 1930\.",9,9.0,29,3.0714285714285716,24.566326530612237,56.0,0.0,1,57,
2,"Dans ce drame se lit une métaphore de la violence qui domina cette période de l'histoire, placée par Visconti sous le signe d'un nihilisme métaphysique, d'une destruction des valeurs et de toute transcendance, au profit de l'expansion des pulsions de mort les plus primaires: la violence qui s'exprime dans le film est aussi bien celle dirigée contre l'autre et l'étranger dans le racisme, que celle dirigée contre ses propres pairs et proches dans l'inceste et le parricide, qu'encore celle dirigée contre soi-même dans la destruction projective de soi dans l'autre à travers la pédophilie du jeune héritier de la famille.",13,13.0,116,4.25,145.37083333333334,120.0,0.0,1,121,
3,"C'est une violence uniquement déterminée par la haine et l'ambition illimitée du pouvoir, de la domination ; toute dimension rituelle ou sacrificielle qui encadrerait la violence dans un contexte religieux fait ici défaut, la violence est déritualisée libérée de toute entrave, littéralement hors norme et hors cadre.",7,6.5,19,3.2115384615384617,16.628328402366865,26.0,36.0,2,54,
4,"En se référant à l'opéra de Wagner, Les Damnés renvoient à une conception du temps qui est celui des mythologies, et donc un temps cyclique qui encadre l'expansion de la violence dans des rituels, c'est-à-dire contraignent la pulsion de mort à répéter la répétition, chose qu'elle cherche justement à fuir dans un éternel recommencement qui annule le sentiment de durée propre à la répétition.",12,12.0,62,3.6301369863013697,63.52073559767312,73.0,0.0,1,74,
5,"Hors de ce cadre, de cette norme, la pulsion de mort est livrée à elle-même, elle intègre le sujet dans une temporalité viciatrice qui, pour Visconti, est précisément la temporalité du nazisme.",6,6.0,24,3.289473684210526,18.94252077562327,38.0,0.0,1,39,
6,Le film semble ainsi faire l'hypothèse selon laquelle l'expansion de pulsions violentes serait déterminée par une certaine conception du temps historique.,7,7.0,22,3.125,19.609375,24.0,0.0,1,25,
7,"En effet, en tant que passion négatrice inéluctable, la violence est par excellence la passion de la démesure, celle que les conventions cherchent premièrement à contenir en posant des interdits universels (celui de ne pas tuer autrui).",8,8.0,26,3.3333333333333335,20.126984126984127,42.0,0.0,1,43,
8,"En tant que passion négative, la violence ne peut trouver en elle-même sa résolution, celle-ci ne peut être posée que de l'extérieur par des normes sociales.",5,5.0,20,3.0,14.068965517241379,29.0,0.0,1,30,
9,"D'où l'importance, en tant que norme particulière, de la conception sociale, culturelle ou civilisationnelle du temps, qui varie selon les époques et les sociétés.",6,6.0,28,3.5483870967741935,26.312174817898022,31.0,0.0,1,32,
10,"L'histoire implique une conception elle-même historicisée du temps: il est par exemple cyclique dans les mythologies antiques gréco-romaines, et linéaire dans la religion chrétienne.",7,7.0,26,3.2857142857142856,24.561224489795922,28.0,0.0,1,29,
