Texte,source_fichier
"Dans le film Les Damnés – titre originellement en italien La Chute des dieux en référence à l'opéra éponyme de Richard Wagner – Luchino Visconti met en scène la famille Essenbeck, propriétaire d'une grande aciérie allemande qui collabore à la montée du nazisme au pouvoir dans les années 1930\.",Histoire_et_Violence
"Dans ce drame se lit une métaphore de la violence qui domina cette période de l'histoire, placée par Visconti sous le signe d'un nihilisme métaphysique, d'une destruction des valeurs et de toute transcendance, au profit de l'expansion des pulsions de mort les plus primaires: la violence qui s'exprime dans le film est aussi bien celle dirigée contre l'autre et l'étranger dans le racisme, que celle dirigée contre ses propres pairs et proches dans l'inceste et le parricide, qu'encore celle dirigée contre soi-même dans la destruction projective de soi dans l'autre à travers la pédophilie du jeune héritier de la famille.",Histoire_et_Violence
"C'est une violence uniquement déterminée par la haine et l'ambition illimitée du pouvoir, de la domination ; toute dimension rituelle ou sacrificielle qui encadrerait la violence dans un contexte religieux fait ici défaut, la violence est déritualisée libérée de toute entrave, littéralement hors norme et hors cadre.",Histoire_et_Violence
"En se référant à l'opéra de Wagner, Les Damnés renvoient à une conception du temps qui est celui des mythologies, et donc un temps cyclique qui encadre l'expansion de la violence dans des rituels, c'est-à-dire contraignent la pulsion de mort à répéter la répétition, chose qu'elle cherche justement à fuir dans un éternel recommencement qui annule le sentiment de durée propre à la répétition.",Histoire_et_Violence
"Hors de ce cadre, de cette norme, la pulsion de mort est livrée à elle-même, elle intègre le sujet dans une temporalité viciatrice qui, pour Visconti, est précisément la temporalité du nazisme.",Histoire_et_Violence
Le film semble ainsi faire l'hypothèse selon laquelle l'expansion de pulsions violentes serait déterminée par une certaine conception du temps historique.,Histoire_et_Violence
"En effet, en tant que passion négatrice inéluctable, la violence est par excellence la passion de la démesure, celle que les conventions cherchent premièrement à contenir en posant des interdits universels (celui de ne pas tuer autrui).",Histoire_et_Violence
"En tant que passion négative, la violence ne peut trouver en elle-même sa résolution, celle-ci ne peut être posée que de l'extérieur par des normes sociales.",Histoire_et_Violence
"D'où l'importance, en tant que norme particulière, de la conception sociale, culturelle ou civilisationnelle du temps, qui varie selon les époques et les sociétés.",Histoire_et_Violence
"L'histoire implique une conception elle-même historicisée du temps: il est par exemple cyclique dans les mythologies antiques gréco-romaines, et linéaire dans la religion chrétienne.",Histoire_et_Violence
C'est nécessairement dans une certaine normalisation du temps que s'exprime la violence des individus et des groupes.,Histoire_et_Violence
"Dès lors se pose le problème de la meilleure organisation du temps, celle qui encadrera le mieux l'expansion de la violence, qui, parce qu'elle est passion négatrice mue par la pulsion de mort, possède un lien substantiel avec la temporalité, la répétition propre au temps cyclique et le recommencement propre au temps linéaire.",Histoire_et_Violence
"Cependant, parce qu'elle est cette passion, la violence pose aussi le problème de la prise de conscience qui lui est associée.",Histoire_et_Violence
"Avant de poser l'organisation du temps, il convient de prendre conscience de la pulsion de mort qui détermine la passion violente, et du caractère temporalisé de cette pulsion.",Histoire_et_Violence
Comment la violence peut-elle être constituée en problème politique alors que sa productivité semble au contraire être ce qui détermine le politique à son insu ?,Histoire_et_Violence
"Comment renverser cette logique inconsciente pour dépasser le Topos selon lequel se serait l’expression de la violence (essentiellement dans les guerres entre Etats ou groupes sociaux) qui ferait l'Histoire, et reconnaître au contraire que ce serait la manière dont on conçoit l'Histoire qui déterminerait l’expression de la violence ?",Histoire_et_Violence
"Dans un premier temps, nous verrons que la violence trouve dans l'Histoire des expressions ritualisées sous forme de jeux ou de sacrifices qui ne mettent pas cette passion au service d'un désir de domination et de conquête ; c'est ici la dimension anthropologique du problème, qui montre que la violence trouve une expression toujours socio-historiquement située et spécifique à cette situation.",Histoire_et_Violence
"Dans un deuxième temps nous verrons que dans les sociétés occidentales, une certaine conception du temps dominée par l'idée de progrès induit la recherche d'une solution métaphysique au problème de la violence, qui ne constitue pas celui-ci comme un problème politique mais en fait une détermination ou essentialisation de la nature humaine.",Histoire_et_Violence
"Enfin, nous verrons comment la violence peut se constituer en problème politique par le biais de la mémoire historique, d'une resaisie rétroactive des violences du passé, qui de fait permet la réintroduction du temps cyclique dans le temps linéaire de la temporalité occidentale.",Histoire_et_Violence
"Le problème de la violence dans l'Histoire nous apparaît au moment même où nous le posons ici, dans le contexte politique qui est celui de l'Occident, c'est-à-dire dans le cadre de l'Etat-nation.",Histoire_et_Violence
"Ainsi, Max Weber, dans La domination, définit cet État comme ce qui a le monopole de la violence physique légitime.",Histoire_et_Violence
"Cette légitimité est autre que les trois catégories de légitimité que Weber établit (charismatique, liée à l'autorité d'un chef - traditionnelle, liée à l'autorité d'une coutume - légale liée à l'autorité de la loi) ; elle est fondée en droit (et donc a part à la légitimité légale) dans l'Etat de droit, mais appartient aussi aux Etats autoritaires et dictatoriaux, car elle est essentiellement fondée sur la force numérique, qui donne à l'Etat un pouvoir de réprimer toute violence (illégale, mafieuse, sectaire, factieuse, etc.) qui concurrence la sienne.",Histoire_et_Violence
