sms_id,SMS_texte,SMS_profondeur_arbre_max,SMS_profondeur_arbre_moy,SMS_distance_dependance_max,SMS_distance_dependance_moy,SMS_distance_dependance_var,SMS_nb_dependances_moy_phrase,SMS_nb_dependances_var_phrase,SMS_nb_phrases,SMS_nb_tokens,Transcodage_1_texte,Transcodage_1_profondeur_arbre_max,Transcodage_1_profondeur_arbre_moy,Transcodage_1_distance_dependance_max,Transcodage_1_distance_dependance_moy,Transcodage_1_distance_dependance_var,Transcodage_1_nb_dependances_moy_phrase,Transcodage_1_nb_dependances_var_phrase,Transcodage_1_nb_phrases,Transcodage_1_nb_tokens,Transcodage_2_texte,Transcodage_2_profondeur_arbre_max,Transcodage_2_profondeur_arbre_moy,Transcodage_2_distance_dependance_max,Transcodage_2_distance_dependance_moy,Transcodage_2_distance_dependance_var,Transcodage_2_nb_dependances_moy_phrase,Transcodage_2_nb_dependances_var_phrase,Transcodage_2_nb_phrases,Transcodage_2_nb_tokens,divergence_score
1,"Hey ca va?
Alors cette rentree?
Va falloir se trouver un p'tit creneau pour se voir!
Dis moi, est-ce que tu sais quand commence les cours de langue non specialiste?
Bisoux",7.0,3.4,17.0,3.0,11.542857142857143,7.0,41.2,5.0,40.0,"Hey ça va ?
Alors cette rentrée ?
Va falloir se trouver un petit créneau pour se voir !
Dis-moi, est-ce que tu sais quand commencent les cours de langue non spécialiste ?
Bisous",6.0,3.2,18.0,3.0,11.764705882352942,6.8,42.160000000000004,5.0,39.0,"Hey ça va ?
Alors cette rentrée ?
Va falloir se trouver un petit créneau pour se voir !
Dis-moi, est-ce que tu sais quand commencent les cours de langue non spécialiste ?
Bisous",6.0,3.2,18.0,3.0,11.764705882352942,6.8,42.160000000000004,5.0,39.0,2.0
2,"Ok super merci! Oui j'y comprends rien du tout moi a cette fac :p

J'irai me renseigner aussi ( si j'trouve le batiment :) )
Merci encore!

Bonne soiree bisoux!",5.0,3.3333333333333335,26.0,4.0,25.789473684210527,12.666666666666666,186.8888888888889,3.0,41.0,"OK super merci ! Oui j'y comprends rien du tout moi à cette fac :p

J'irai me renseigner aussi (si je trouve le bâtiment :) )
Merci encore !

Bonne soirée bisous !",5.0,3.3333333333333335,25.0,3.7837837837837838,23.68298027757487,12.333333333333334,174.2222222222222,3.0,40.0,"O.K. super merci ! Oui j'y comprends rien du tout moi à cette fac :p

J'irai me renseigner aussi (si je trouve le bâtiment :) )
Merci encore !

Bonne soirée bisous !",5.0,3.0,25.0,3.6153846153846154,22.903353057199208,9.75,150.6875,4.0,43.0,2.3846153846153846
3,"Coucou !
C'est quand la feria de Nimes?
J'suis pas bien sure de la faire mais pourquoi pas!
Sinon oui, j'profite de ma derniere semaine de vacance!
Bon courage!
Bisoux",4.0,2.5,7.0,2.657142857142857,2.7395918367346943,5.833333333333333,25.472222222222218,6.0,41.0,"Coucou !  
C'est quand la feria de Nîmes ?  
Je suis pas bien sûre de la faire mais pourquoi pas !  
Sinon oui, je profite de ma dernière semaine de vacances !  
Bon courage !  
Bisous",4.0,2.6666666666666665,7.0,2.5454545454545454,2.4903581267217634,5.5,21.583333333333332,6.0,39.0,"Coucou !  
C'est quand la féria de Nîmes ?  
Je suis pas bien sûre de la faire mais pourquoi pas !  
Sinon oui, je profite de ma dernière semaine de vacances !  
Bon courage !  
Bisous",4.0,2.6666666666666665,7.0,2.5454545454545454,2.4903581267217634,5.5,21.583333333333332,6.0,39.0,0.11168831168831161
4,"Coucou :)
Oui ca c'est bien passe!
Alors je sais pas du tout pour jeudi soir... Non pas que je veuille pas mais je suis pas sure d'etre sur Montpel. J'y serai de sur qu'a partir de lundi prochain car je commence les cours...",5.0,4.0,17.0,3.6140350877192984,15.780855647891661,14.25,16.1875,4.0,61.0,"Coucou :)  
Oui ça s'est bien passé !  
Alors je sais pas du tout pour jeudi soir… Non pas que je veuille pas mais je suis pas sûre d'être sur Montpellier. J'y serai de sûre qu'à partir de lundi prochain car je commence les cours…",5.0,4.0,13.0,3.169811320754717,8.707013171947313,13.25,14.6875,4.0,57.0,"Coucou :)  
Oui ça s'est bien passé !  
Alors je sais pas du tout pour jeudi soir… Non pas que je veuille pas mais je suis pas sûre d'être sur Montpellier. J'y serai de sûre qu'à partir de lundi prochain car je commence les cours…",5.0,4.0,13.0,3.169811320754717,8.707013171947313,13.25,14.6875,4.0,57.0,4.444223766964582
5,On peut se rejoindre quelque part? Tu as cours ou ?,4.0,3.0,5.0,1.9,1.49,5.0,1.0,2.0,12.0,On peut se rejoindre quelque part ? Tu as cours où ?,4.0,3.5,5.0,1.8,1.5600000000000003,5.0,1.0,2.0,12.0,On peut se rejoindre quelque part ? Tu as cours où ?,4.0,3.5,5.0,1.8,1.5600000000000003,5.0,1.0,2.0,12.0,0.09999999999999987
6,"Encore moi... J'te harcele, oui oui et j'assume :)
Juste j'te tiens au courant.
On sera 4. Toi, Thomas, Jean et moi a participer. On t'avance?",4.0,2.8,17.0,3.175,12.644374999999998,8.0,40.4,5.0,45.0,"Encore moi… Je te harcèle, oui oui et j'assume :)
Juste je te tiens au courant.  
On sera 4. Toi, Thomas, Jean et moi à participer. On t'avance ?",4.0,2.8,16.0,2.9722222222222223,12.027006172839506,7.2,34.96,5.0,41.0,"Encore moi… Je te harcèle, oui oui et j'assume :)
Juste je te tiens au courant.  
On sera 4. Toi, Thomas, Jean et moi à participer. On t'avance ?",4.0,2.8,16.0,2.9722222222222223,12.027006172839506,7.2,34.96,5.0,41.0,1.2027777777777775
7,"Dis, pour le premier midi on s'fait a manger de nous comme on avait fait y'a deux ans? Ou vous allez acheter des trucs pour le samedi midi?
Biisoux",6.0,3.6666666666666665,14.0,2.9696969696969697,8.51423324150597,11.0,88.66666666666667,3.0,36.0,"Dis, pour le premier midi on se fait à manger de nous comme on avait fait y a deux ans ? Ou vous allez acheter des trucs pour le samedi midi ? Bisous",6.0,3.6666666666666665,13.0,3.064516129032258,8.253902185223724,10.333333333333334,73.55555555555556,3.0,34.0,"Dis, pour le premier midi on se fait à manger de nous comme on avait fait il y a deux ans ? Ou vous allez acheter des trucs pour le samedi midi ? Bisous",6.0,3.6666666666666665,14.0,3.125,8.796875,10.666666666666666,80.8888888888889,3.0,35.0,1.1553030303030303
8,"Hey hey !
J'te souhaite un tres joyeux n'anniversaire! Profite bien de ta journee !

Le <SUR_4> te souhaite aussi un tres joyeux anniv' !

Bisoux",4.0,2.8,7.0,2.5517241379310347,3.626634958382878,5.8,20.96,5.0,34.0,"Hey hey !
Je te souhaite un très joyeux anniversaire ! Profite bien de ta journée !

Le <SUR_4> te souhaite aussi un très joyeux anniversaire !

Bisous",4.0,2.8,6.0,2.32,2.5376,5.0,14.8,5.0,30.0,"Hey hey !
Je te souhaite un très joyeux anniversaire ! Profite bien de ta journée !

Le <SUR_4> te souhaite aussi un très joyeux anniversaire !

Bisous",4.0,2.8,6.0,2.32,2.5376,5.0,14.8,5.0,30.0,1.2317241379310349
9,"Je suis desolee... J'avais pas vu l'heure et pas de portable sur moi...
Encore desolee...
Bisoux",4.0,2.25,12.0,3.24,9.9424,6.25,35.1875,4.0,29.0,"Je suis désolée… J'avais pas vu l'heure et pas de portable sur moi…  
Encore désolée…  
Bisous",4.0,2.25,10.0,2.526315789473684,5.1966759002770075,4.75,29.6875,4.0,23.0,"Je suis désolée… J'avais pas vu l'heure et pas de portable sur moi…  
Encore désolée…  
Bisous",4.0,2.25,10.0,2.526315789473684,5.1966759002770075,4.75,29.6875,4.0,23.0,2.713684210526316
10,"Ah d'accord.
Ca me fait vraiment plaisir. Merci d'avoir pense a moi!
Je vous fait des Bisous a vous tous!",4.0,3.25,7.0,2.25,2.5208333333333335,6.0,2.5,4.0,28.0,"Ah d'accord.
Ça me fait vraiment plaisir. Merci d'avoir pensé à moi !
Je vous fais des bisous à vous tous !",4.0,3.0,7.0,2.3333333333333335,2.638888888888889,6.0,2.5,4.0,28.0,"Ah d'accord.
Ça me fait vraiment plaisir. Merci d'avoir pensé à moi !
Je vous fais des bisous à vous tous !",4.0,3.0,7.0,2.3333333333333335,2.638888888888889,6.0,2.5,4.0,28.0,0.08333333333333348
