sms_id,Texte_texte,Texte_profondeur_arbre_max,Texte_profondeur_arbre_moy,Texte_distance_dependance_max,Texte_distance_dependance_moy,Texte_distance_dependance_var,Texte_nb_dependances_moy_phrase,Texte_nb_dependances_var_phrase,Texte_nb_phrases,Texte_nb_tokens,divergence_score
1,"Dans le film Les Damnés – titre originellement en italien La Chute des dieux en référence à l'opéra éponyme de Richard Wagner – Luchino Visconti met en scène la famille Essenbeck, propriétaire d'une grande aciérie allemande qui collabore à la montée du nazisme au pouvoir dans les années 1930\.",8,8.0,28,4.381818181818182,39.54512396694214,55.0,0.0,1,56,0.0
2,"Dans ce drame se lit une métaphore de la violence qui domina cette période de l'histoire, placée par Visconti sous le signe d'un nihilisme métaphysique, d'une destruction des valeurs et de toute transcendance, au profit de l'expansion des pulsions de mort les plus primaires: la violence qui s'exprime dans le film est aussi bien celle dirigée contre l'autre et l'étranger dans le racisme, que celle dirigée contre ses propres pairs et proches dans l'inceste et le parricide, qu'encore celle dirigée contre soi-même dans la destruction projective de soi dans l'autre à travers la pédophilie du jeune héritier de la famille.",11,11.0,124,9.6640625,310.92620849609375,128.0,0.0,1,129,0.0
3,"C'est une violence uniquement déterminée par la haine et l'ambition illimitée du pouvoir, de la domination ; toute dimension rituelle ou sacrificielle qui encadrerait la violence dans un contexte religieux fait ici défaut, la violence est déritualisée libérée de toute entrave, littéralement hors norme et hors cadre.",7,7.0,50,4.074074074074074,61.36488340192044,54.0,0.0,1,55,0.0
4,"En se référant à l'opéra de Wagner, Les Damnés renvoient à une conception du temps qui est celui des mythologies, et donc un temps cyclique qui encadre l'expansion de la violence dans des rituels, c'est-à-dire contraignent la pulsion de mort à répéter la répétition, chose qu'elle cherche justement à fuir dans un éternel recommencement qui annule le sentiment de durée propre à la répétition.",13,13.0,68,4.7875,84.69234374999999,80.0,0.0,1,81,0.0
5,"Hors de ce cadre, de cette norme, la pulsion de mort est livrée à elle-même, elle intègre le sujet dans une temporalité viciatrice qui, pour Visconti, est précisément la temporalité du nazisme.",5,5.0,25,4.051282051282051,23.946088099934254,39.0,0.0,1,40,0.0
6,Le film semble ainsi faire l'hypothèse selon laquelle l'expansion de pulsions violentes serait déterminée par une certaine conception du temps historique.,7,7.0,23,3.6,22.08,25.0,0.0,1,26,0.0
7,"En effet, en tant que passion négatrice inéluctable, la violence est par excellence la passion de la démesure, celle que les conventions cherchent premièrement à contenir en posant des interdits universels (celui de ne pas tuer autrui).",8,8.0,26,3.642857142857143,23.32482993197279,42.0,0.0,1,43,0.0
8,"En tant que passion négative, la violence ne peut trouver en elle-même sa résolution, celle-ci ne peut être posée que de l'extérieur par des normes sociales.",6,6.0,25,3.2941176470588234,20.089965397923876,34.0,0.0,1,35,0.0
9,"D'où l'importance, en tant que norme particulière, de la conception sociale, culturelle ou civilisationnelle du temps, qui varie selon les époques et les sociétés.",6,6.0,27,3.40625,22.9287109375,32.0,0.0,1,33,0.0
10,"L'histoire implique une conception elle-même historicisée du temps: il est par exemple cyclique dans les mythologies antiques gréco-romaines, et linéaire dans la religion chrétienne.",7,7.0,29,3.40625,26.6162109375,32.0,0.0,1,33,0.0
11,C'est nécessairement dans une certaine normalisation du temps que s'exprime la violence des individus et des groupes.,6,6.0,14,3.2857142857142856,8.965986394557822,21.0,0.0,1,22,0.0
12,"Dès lors se pose le problème de la meilleure organisation du temps, celle qui encadrera le mieux l'expansion de la violence, qui, parce qu'elle est passion négatrice mue par la pulsion de mort, possède un lien substantiel avec la temporalité, la répétition propre au temps cyclique et le recommencement propre au temps linéaire.",8,8.0,59,4.290322580645161,77.01248699271592,62.0,0.0,1,63,0.0
13,"Cependant, parce qu'elle est cette passion, la violence pose aussi le problème de la prise de conscience qui lui est associée.",5,5.0,13,2.96,9.958399999999997,25.0,0.0,1,26,0.0
14,"Avant de poser l'organisation du temps, il convient de prendre conscience de la pulsion de mort qui détermine la passion violente, et du caractère temporalisé de cette pulsion.",7,7.0,22,3.0,16.4375,32.0,0.0,1,33,0.0
15,Comment la violence peut-elle être constituée en problème politique alors que sa productivité semble au contraire être ce qui détermine le politique à son insu ?,5,5.0,24,3.5555555555555554,27.65432098765432,27.0,0.0,1,28,0.0
16,"Comment renverser cette logique inconsciente pour dépasser le Topos selon lequel se serait l’expression de la violence (essentiellement dans les guerres entre Etats ou groupes sociaux) qui ferait l'Histoire, et reconnaître au contraire que ce serait la manière dont on conçoit l'Histoire qui déterminerait l’expression de la violence ?",9,9.0,58,4.711864406779661,71.12036771042804,59.0,0.0,1,60,0.0
17,"Dans un premier temps, nous verrons que la violence trouve dans l'Histoire des expressions ritualisées sous forme de jeux ou de sacrifices qui ne mettent pas cette passion au service d'un désir de domination et de conquête ; c'est ici la dimension anthropologique du problème, qui montre que la violence trouve une expression toujours socio-historiquement située et spécifique à cette situation.",11,11.0,65,5.577464788732394,121.53977385439399,71.0,0.0,1,72,0.0
18,"Dans un deuxième temps nous verrons que dans les sociétés occidentales, une certaine conception du temps dominée par l'idée de progrès induit la recherche d'une solution métaphysique au problème de la violence, qui ne constitue pas celui-ci comme un problème politique mais en fait une détermination ou essentialisation de la nature humaine.",10,10.0,55,3.9166666666666665,56.50972222222223,60.0,0.0,1,61,0.0
19,"Enfin, nous verrons comment la violence peut se constituer en problème politique par le biais de la mémoire historique, d'une resaisie rétroactive des violences du passé, qui de fait permet la réintroduction du temps cyclique dans le temps linéaire de la temporalité occidentale.",10,10.0,45,3.2291666666666665,40.96831597222223,48.0,0.0,1,49,0.0
20,"Le problème de la violence dans l'Histoire nous apparaît au moment même où nous le posons ici, dans le contexte politique qui est celui de l'Occident, c'est-à-dire dans le cadre de l'Etat-nation.",7,7.0,38,4.125,35.609375,48.0,0.0,1,49,0.0
21,"Ainsi, Max Weber, dans La domination, définit cet État comme ce qui a le monopole de la violence physique légitime.",6,6.0,14,2.739130434782609,9.584120982986766,23.0,0.0,1,24,0.0
22,"Cette légitimité est autre que les trois catégories de légitimité que Weber établit (charismatique, liée à l'autorité d'un chef - traditionnelle, liée à l'autorité d'une coutume - légale liée à l'autorité de la loi) ; elle est fondée en droit (et donc a part à la légitimité légale) dans l'Etat de droit, mais appartient aussi aux Etats autoritaires et dictatoriaux, car elle est essentiellement fondée sur la force numérique, qui donne à l'Etat un pouvoir de réprimer toute violence (illégale, mafieuse, sectaire, factieuse, etc.) qui concurrence la sienne.",10,10.0,115,10.542372881355933,334.5193909796036,118.0,0.0,1,119,0.0
23,"Les Etats-nations apparaissent alors comme avant tout des outils de domination au sein desquels la violence peut trouver un moyen d'expansion illimité: C'est l'exemple des Etats totalitaires nazi, nippon ou soviétique au XXe siècle, qui tous se sont engagés dans des guerres de conquête (l'Europe de l'Est pour le nazisme, l'Europe de l'Est pour l'URSS, la Mandchourie pour le Japon) uniquement motivées par la volonté de domination.",10,10.0,88,5.717391304347826,109.42013232514176,92.0,0.0,1,93,0.0
24,"On voit que ce qui détermine la légitimité de ce monopole de la violence physique est bien la force et non la légitimité légale, car le totalitarisme nazi émerge dans un Etat de droit qui est celui de la République de Weimar.",8,8.0,42,4.186046511627907,49.77934018388318,43.0,0.0,1,44,0.0
25,"En effet, l'article 48 de la Constitution de Weimar permit au chancelier Hindenburg de déclarer l'état d'urgence et de gouverner en dictateur sur une courte période ; article qui fut utilisé par Hitler pour lancer sa politique fasciste lorsqu'il remplaça Hindenburg en 1933 (cf.",7,7.0,42,3.7777777777777777,38.50617283950617,54.0,0.0,1,55,0.0
26,"Agamben, Homo Sacer 2, L'Etat d'exception).",4,4.0,13,3.4615384615384617,11.01775147928994,13.0,0.0,1,14,0.0
27,Cet exemple montre que la violence et le droit ne sont pas antinomiques.,5,5.0,11,4.0,13.384615384615385,13.0,0.0,1,14,0.0
28,"En effet, ce n'est pas tant le rapport de la violence à la norme qui est substantiel, que le rapport de la violence à une norme spécifique qui est celle de la répétition et de l'organisation du temps social.",9,9.0,35,3.466666666666667,26.471111111111107,45.0,0.0,1,46,0.0
