sms_id,SMS_texte,SMS_profondeur_arbre_max,SMS_profondeur_arbre_moy,SMS_distance_dependance_max,SMS_distance_dependance_moy,SMS_distance_dependance_var,SMS_nb_dependances_moy_phrase,SMS_nb_dependances_var_phrase,SMS_nb_phrases,SMS_nb_tokens,Transcodage_1_texte,Transcodage_1_profondeur_arbre_max,Transcodage_1_profondeur_arbre_moy,Transcodage_1_distance_dependance_max,Transcodage_1_distance_dependance_moy,Transcodage_1_distance_dependance_var,Transcodage_1_nb_dependances_moy_phrase,Transcodage_1_nb_dependances_var_phrase,Transcodage_1_nb_phrases,Transcodage_1_nb_tokens,Transcodage_2_texte,Transcodage_2_profondeur_arbre_max,Transcodage_2_profondeur_arbre_moy,Transcodage_2_distance_dependance_max,Transcodage_2_distance_dependance_moy,Transcodage_2_distance_dependance_var,Transcodage_2_nb_dependances_moy_phrase,Transcodage_2_nb_dependances_var_phrase,Transcodage_2_nb_phrases,Transcodage_2_nb_tokens,divergence_score
1,"Hey ca va?
Alors cette rentree?
Va falloir se trouver un p'tit creneau pour se voir!
Dis moi, est-ce que tu sais quand commence les cours de langue non specialiste?
Bisoux",6.0,3.4,10.0,2.5625,5.62109375,6.4,33.84,5.0,37.0,"Hey ça va ?
Alors cette rentrée ?
Va falloir se trouver un petit créneau pour se voir !
Dis-moi, est-ce que tu sais quand commencent les cours de langue non spécialiste ?
Bisous",6.0,3.2,10.0,2.4193548387096775,5.146722164412069,6.2,30.160000000000004,5.0,36.0,"Hey ça va ?
Alors cette rentrée ?
Va falloir se trouver un petit créneau pour se voir !
Dis-moi, est-ce que tu sais quand commencent les cours de langue non spécialiste ?
Bisous",6.0,3.2,10.0,2.4193548387096775,5.146722164412069,6.2,30.160000000000004,5.0,36.0,0.1431451612903225
2,"Ok super merci! Oui j'y comprends rien du tout moi a cette fac :p

J'irai me renseigner aussi ( si j'trouve le batiment :) )
Merci encore!

Bonne soiree bisoux!",4.0,3.25,15.0,2.914285714285714,11.392653061224488,8.75,34.1875,4.0,39.0,"OK super merci ! Oui j'y comprends rien du tout moi à cette fac :p

J'irai me renseigner aussi (si je trouve le bâtiment :) )
Merci encore !

Bonne soirée bisous !",4.0,3.0,15.0,3.0,11.028571428571428,8.75,34.1875,4.0,39.0,"O.K. super merci ! Oui j'y comprends rien du tout moi à cette fac :p

J'irai me renseigner aussi (si je trouve le bâtiment :) )
Merci encore !

Bonne soirée bisous !",4.0,3.0,15.0,3.0,11.028571428571428,8.75,34.1875,4.0,39.0,0.08571428571428585
3,"Coucou !
C'est quand la feria de Nimes?
J'suis pas bien sure de la faire mais pourquoi pas!
Sinon oui, j'profite de ma derniere semaine de vacance!
Bon courage!
Bisoux",4.0,2.6666666666666665,7.0,2.34375,2.5380859375,5.333333333333333,20.88888888888889,6.0,38.0,"Coucou !  
C'est quand la feria de Nîmes ?  
Je suis pas bien sûre de la faire mais pourquoi pas !  
Sinon oui, je profite de ma dernière semaine de vacances !  
Bon courage !  
Bisous",4.0,2.5,7.0,2.46875,2.6865234375,5.333333333333333,20.88888888888889,6.0,38.0,"Coucou !  
C'est quand la féria de Nîmes ?  
Je suis pas bien sûre de la faire mais pourquoi pas !  
Sinon oui, je profite de ma dernière semaine de vacances !  
Bon courage !  
Bisous",4.0,2.5,7.0,2.46875,2.6865234375,5.333333333333333,20.88888888888889,6.0,38.0,0.125
4,"Coucou :)
Oui ca c'est bien passe!
Alors je sais pas du tout pour jeudi soir... Non pas que je veuille pas mais je suis pas sure d'etre sur Montpel. J'y serai de sur qu'a partir de lundi prochain car je commence les cours...",5.0,3.25,24.0,3.4285714285714284,22.3265306122449,12.25,92.1875,4.0,53.0,"Coucou :)  
Oui ça s'est bien passé !  
Alors je sais pas du tout pour jeudi soir… Non pas que je veuille pas mais je suis pas sûre d'être sur Montpellier. J'y serai de sûre qu'à partir de lundi prochain car je commence les cours…",5.0,3.2,12.0,2.8541666666666665,7.249565972222224,9.6,31.439999999999998,5.0,53.0,"Coucou :)  
Oui ça s'est bien passé !  
Alors je sais pas du tout pour jeudi soir… Non pas que je veuille pas mais je suis pas sûre d'être sur Montpellier. J'y serai de sûre qu'à partir de lundi prochain car je commence les cours…",5.0,3.2,12.0,2.8541666666666665,7.249565972222224,9.6,31.439999999999998,5.0,53.0,13.574404761904763
5,On peut se rejoindre quelque part? Tu as cours ou ?,4.0,3.0,5.0,1.9,1.49,5.0,1.0,2.0,12.0,On peut se rejoindre quelque part ? Tu as cours où ?,4.0,3.0,5.0,1.9,1.49,5.0,1.0,2.0,12.0,On peut se rejoindre quelque part ? Tu as cours où ?,4.0,3.0,5.0,1.9,1.49,5.0,1.0,2.0,12.0,0.0
6,"Encore moi... J'te harcele, oui oui et j'assume :)
Juste j'te tiens au courant.
On sera 4. Toi, Thomas, Jean et moi a participer. On t'avance?",4.0,3.0,15.0,2.823529411764706,9.498269896193774,8.5,42.75,4.0,38.0,"Encore moi… Je te harcèle, oui oui et j'assume :)
Juste je te tiens au courant.  
On sera 4. Toi, Thomas, Jean et moi à participer. On t'avance ?",4.0,2.8,15.0,2.911764705882353,9.786332179930795,6.8,32.16,5.0,39.0,"Encore moi… Je te harcèle, oui oui et j'assume :)
Juste je te tiens au courant.  
On sera 4. Toi, Thomas, Jean et moi à participer. On t'avance ?",4.0,2.8,15.0,2.911764705882353,9.786332179930795,6.8,32.16,5.0,39.0,1.0882352941176467
7,"Dis, pour le premier midi on s'fait a manger de nous comme on avait fait y'a deux ans? Ou vous allez acheter des trucs pour le samedi midi?
Biisoux",6.0,3.6666666666666665,13.0,2.7419354838709675,7.159209157127993,10.333333333333334,73.55555555555556,3.0,34.0,"Dis, pour le premier midi on se fait à manger de nous comme on avait fait y a deux ans ? Ou vous allez acheter des trucs pour le samedi midi ? Bisous",6.0,3.6666666666666665,13.0,2.7419354838709675,7.159209157127993,10.333333333333334,73.55555555555556,3.0,34.0,"Dis, pour le premier midi on se fait à manger de nous comme on avait fait il y a deux ans ? Ou vous allez acheter des trucs pour le samedi midi ? Bisous",6.0,3.6666666666666665,14.0,2.8125,7.77734375,10.666666666666666,80.8888888888889,3.0,35.0,1.0705645161290325
8,"Hey hey !
J'te souhaite un tres joyeux n'anniversaire! Profite bien de ta journee !

Le <SUR_4> te souhaite aussi un tres joyeux anniv' !

Bisoux",4.0,3.0,6.0,2.4,2.96,5.0,13.6,5.0,30.0,"Hey hey !
Je te souhaite un très joyeux anniversaire ! Profite bien de ta journée !

Le <SUR_4> te souhaite aussi un très joyeux anniversaire !

Bisous",4.0,3.0,6.0,2.2916666666666665,2.5399305555555554,4.8,12.56,5.0,29.0,"Hey hey !
Je te souhaite un très joyeux anniversaire ! Profite bien de ta journée !

Le <SUR_4> te souhaite aussi un très joyeux anniversaire !

Bisous",4.0,3.0,6.0,2.2916666666666665,2.5399305555555554,4.8,12.56,5.0,29.0,0.10833333333333339
9,"Je suis desolee... J'avais pas vu l'heure et pas de portable sur moi...
Encore desolee...
Bisoux",5.0,3.5,11.0,2.3684210526315788,6.548476454293629,9.5,42.25,2.0,21.0,"Je suis désolée… J'avais pas vu l'heure et pas de portable sur moi…  
Encore désolée…  
Bisous",5.0,2.5,9.0,2.411764705882353,5.653979238754324,4.25,21.1875,4.0,21.0,"Je suis désolée… J'avais pas vu l'heure et pas de portable sur moi…  
Encore désolée…  
Bisous",5.0,2.5,9.0,2.411764705882353,5.653979238754324,4.25,21.1875,4.0,21.0,4.0433436532507745
10,"Ah d'accord.
Ca me fait vraiment plaisir. Merci d'avoir pense a moi!
Je vous fait des Bisous a vous tous!",4.0,2.75,6.0,2.090909090909091,1.9917355371900827,5.5,3.25,4.0,26.0,"Ah d'accord.
Ça me fait vraiment plaisir. Merci d'avoir pensé à moi !
Je vous fais des bisous à vous tous !",4.0,2.75,6.0,2.090909090909091,2.173553719008265,5.5,3.25,4.0,26.0,"Ah d'accord.
Ça me fait vraiment plaisir. Merci d'avoir pensé à moi !
Je vous fais des bisous à vous tous !",4.0,2.75,6.0,2.090909090909091,2.173553719008265,5.5,3.25,4.0,26.0,0.0
