sms_id,SMS_texte,SMS_profondeur_arbre_max,SMS_profondeur_arbre_moy,SMS_distance_dependance_max,SMS_distance_dependance_moy,SMS_distance_dependance_var,SMS_nb_dependances_moy_phrase,SMS_nb_dependances_var_phrase,SMS_nb_phrases,SMS_nb_tokens,Transcodage_1_texte,Transcodage_1_profondeur_arbre_max,Transcodage_1_profondeur_arbre_moy,Transcodage_1_distance_dependance_max,Transcodage_1_distance_dependance_moy,Transcodage_1_distance_dependance_var,Transcodage_1_nb_dependances_moy_phrase,Transcodage_1_nb_dependances_var_phrase,Transcodage_1_nb_phrases,Transcodage_1_nb_tokens,Transcodage_2_texte,Transcodage_2_profondeur_arbre_max,Transcodage_2_profondeur_arbre_moy,Transcodage_2_distance_dependance_max,Transcodage_2_distance_dependance_moy,Transcodage_2_distance_dependance_var,Transcodage_2_nb_dependances_moy_phrase,Transcodage_2_nb_dependances_var_phrase,Transcodage_2_nb_phrases,Transcodage_2_nb_tokens,divergence_score
1,"Hey ca va?
Alors cette rentree?
Va falloir se trouver un p'tit creneau pour se voir!
Dis moi, est-ce que tu sais quand commence les cours de langue non specialiste?
Bisoux",6.0,3.2,12.0,2.8,6.96,7.0,41.2,5.0,40.0,"Hey ça va ?
Alors cette rentrée ?
Va falloir se trouver un petit créneau pour se voir !
Dis-moi, est-ce que tu sais quand commencent les cours de langue non spécialiste ?
Bisous",6.0,3.2,10.0,2.4705882352941178,5.484429065743946,6.8,42.160000000000004,5.0,39.0,"Hey ça va ?
Alors cette rentrée ?
Va falloir se trouver un petit créneau pour se voir !
Dis-moi, est-ce que tu sais quand commencent les cours de langue non spécialiste ?
Bisous",6.0,3.2,10.0,2.4705882352941178,5.484429065743946,6.8,42.160000000000004,5.0,39.0,2.329411764705882
2,"Ok super merci! Oui j'y comprends rien du tout moi a cette fac :p

J'irai me renseigner aussi ( si j'trouve le batiment :) )
Merci encore!

Bonne soiree bisoux!",7.0,4.0,28.0,3.236842105263158,22.864958448753463,12.666666666666666,186.8888888888889,3.0,41.0,"OK super merci ! Oui j'y comprends rien du tout moi à cette fac :p

J'irai me renseigner aussi (si je trouve le bâtiment :) )
Merci encore !

Bonne soirée bisous !",8.0,4.0,27.0,3.108108108108108,21.177501826150472,12.333333333333334,174.2222222222222,3.0,40.0,"O.K. super merci ! Oui j'y comprends rien du tout moi à cette fac :p

J'irai me renseigner aussi (si je trouve le bâtiment :) )
Merci encore !

Bonne soirée bisous !",8.0,3.75,27.0,3.0,20.307692307692307,9.75,150.6875,4.0,43.0,3.236842105263158
3,"Coucou !
C'est quand la feria de Nimes?
J'suis pas bien sure de la faire mais pourquoi pas!
Sinon oui, j'profite de ma derniere semaine de vacance!
Bon courage!
Bisoux",4.0,2.8333333333333335,7.0,2.4,2.811428571428571,5.833333333333333,25.472222222222218,6.0,41.0,"Coucou !  
C'est quand la feria de Nîmes ?  
Je suis pas bien sûre de la faire mais pourquoi pas !  
Sinon oui, je profite de ma dernière semaine de vacances !  
Bon courage !  
Bisous",4.0,2.8333333333333335,7.0,2.303030303030303,2.6354453627180905,5.5,21.583333333333332,6.0,39.0,"Coucou !  
C'est quand la féria de Nîmes ?  
Je suis pas bien sûre de la faire mais pourquoi pas !  
Sinon oui, je profite de ma dernière semaine de vacances !  
Bon courage !  
Bisous",4.0,2.8333333333333335,7.0,2.3636363636363638,2.59504132231405,5.5,21.583333333333332,6.0,39.0,0.0969696969696967
4,"Coucou :)
Oui ca c'est bien passe!
Alors je sais pas du tout pour jeudi soir... Non pas que je veuille pas mais je suis pas sure d'etre sur Montpel. J'y serai de sur qu'a partir de lundi prochain car je commence les cours...",6.0,4.5,17.0,2.982456140350877,10.192674669128964,14.25,16.1875,4.0,61.0,"Coucou :)  
Oui ça s'est bien passé !  
Alors je sais pas du tout pour jeudi soir… Non pas que je veuille pas mais je suis pas sûre d'être sur Montpellier. J'y serai de sûre qu'à partir de lundi prochain car je commence les cours…",5.0,4.25,15.0,3.018867924528302,8.848700605197578,13.25,14.6875,4.0,57.0,"Coucou :)  
Oui ça s'est bien passé !  
Alors je sais pas du tout pour jeudi soir… Non pas que je veuille pas mais je suis pas sûre d'être sur Montpellier. J'y serai de sûre qu'à partir de lundi prochain car je commence les cours…",5.0,4.25,15.0,3.018867924528302,8.848700605197578,13.25,14.6875,4.0,57.0,3.036411784177425
5,On peut se rejoindre quelque part? Tu as cours ou ?,4.0,3.0,5.0,1.9,1.49,5.0,1.0,2.0,12.0,On peut se rejoindre quelque part ? Tu as cours où ?,4.0,3.0,5.0,1.9,1.49,5.0,1.0,2.0,12.0,On peut se rejoindre quelque part ? Tu as cours où ?,4.0,3.0,5.0,1.9,1.49,5.0,1.0,2.0,12.0,0.0
6,"Encore moi... J'te harcele, oui oui et j'assume :)
Juste j'te tiens au courant.
On sera 4. Toi, Thomas, Jean et moi a participer. On t'avance?",5.0,3.4,17.0,2.675,8.619375,8.0,40.4,5.0,45.0,"Encore moi… Je te harcèle, oui oui et j'assume :)
Juste je te tiens au courant.  
On sera 4. Toi, Thomas, Jean et moi à participer. On t'avance ?",5.0,3.2,16.0,2.861111111111111,9.564043209876543,7.2,34.96,5.0,41.0,"Encore moi… Je te harcèle, oui oui et j'assume :)
Juste je te tiens au courant.  
On sera 4. Toi, Thomas, Jean et moi à participer. On t'avance ?",5.0,3.2,16.0,2.861111111111111,9.564043209876543,7.2,34.96,5.0,41.0,1.1861111111111113
7,"Dis, pour le premier midi on s'fait a manger de nous comme on avait fait y'a deux ans? Ou vous allez acheter des trucs pour le samedi midi?
Biisoux",6.0,3.6666666666666665,14.0,2.757575757575758,7.75941230486685,11.0,88.66666666666667,3.0,36.0,"Dis, pour le premier midi on se fait à manger de nous comme on avait fait y a deux ans ? Ou vous allez acheter des trucs pour le samedi midi ? Bisous",6.0,3.6666666666666665,13.0,2.6451612903225805,7.132154006243499,10.333333333333334,73.55555555555556,3.0,34.0,"Dis, pour le premier midi on se fait à manger de nous comme on avait fait il y a deux ans ? Ou vous allez acheter des trucs pour le samedi midi ? Bisous",6.0,3.6666666666666665,14.0,2.6875,7.58984375,10.666666666666666,80.8888888888889,3.0,35.0,1.1124144672531773
8,"Hey hey !
J'te souhaite un tres joyeux n'anniversaire! Profite bien de ta journee !

Le <SUR_4> te souhaite aussi un tres joyeux anniv' !

Bisoux",4.0,2.8,10.0,2.9655172413793105,5.550535077288941,5.8,20.96,5.0,34.0,"Hey hey !
Je te souhaite un très joyeux anniversaire ! Profite bien de ta journée !

Le <SUR_4> te souhaite aussi un très joyeux anniversaire !

Bisous",4.0,2.8,10.0,2.68,4.697600000000001,5.0,14.8,5.0,30.0,"Hey hey !
Je te souhaite un très joyeux anniversaire ! Profite bien de ta journée !

Le <SUR_4> te souhaite aussi un très joyeux anniversaire !

Bisous",4.0,2.8,10.0,2.68,4.697600000000001,5.0,14.8,5.0,30.0,0.28551724137931034
9,"Je suis desolee... J'avais pas vu l'heure et pas de portable sur moi...
Encore desolee...
Bisoux",4.0,2.75,12.0,2.44,5.606400000000001,6.25,35.1875,4.0,29.0,"Je suis désolée… J'avais pas vu l'heure et pas de portable sur moi…  
Encore désolée…  
Bisous",4.0,2.25,10.0,2.526315789473684,5.1966759002770075,4.75,29.6875,4.0,23.0,"Je suis désolée… J'avais pas vu l'heure et pas de portable sur moi…  
Encore désolée…  
Bisous",4.0,2.25,10.0,2.526315789473684,5.1966759002770075,4.75,29.6875,4.0,23.0,2.086315789473684
10,"Ah d'accord.
Ca me fait vraiment plaisir. Merci d'avoir pense a moi!
Je vous fait des Bisous a vous tous!",4.0,3.5,7.0,2.1666666666666665,2.555555555555556,6.0,2.5,4.0,28.0,"Ah d'accord.
Ça me fait vraiment plaisir. Merci d'avoir pensé à moi !
Je vous fais des bisous à vous tous !",4.0,3.5,7.0,2.25,2.5208333333333335,6.0,2.5,4.0,28.0,"Ah d'accord.
Ça me fait vraiment plaisir. Merci d'avoir pensé à moi !
Je vous fais des bisous à vous tous !",4.0,3.5,7.0,2.25,2.5208333333333335,6.0,2.5,4.0,28.0,0.08333333333333348
