N° du SMS dans 88milSMS;SMS;Transcodage_1;;Transcodage_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Hey ca va?
Alors cette rentree?
Va falloir se trouver un p'tit creneau pour se voir!
Dis moi, est-ce que tu sais quand commence les cours de langue non specialiste?
Bisoux";"Hey ça va ?
Alors cette rentrée ?
Va falloir se trouver un petit créneau pour se voir !
Dis-moi, est-ce que tu sais quand commencent les cours de langue non spécialiste ?
Bisous";;"Hey ça va ?
Alors cette rentrée ?
Va falloir se trouver un petit créneau pour se voir !
Dis-moi, est-ce que tu sais quand commencent les cours de langue non spécialiste ?
Bisous";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;"Ok super merci! Oui j'y comprends rien du tout moi a cette fac :p

J'irai me renseigner aussi ( si j'trouve le batiment :) )
Merci encore!

Bonne soiree bisoux!";"OK super merci ! Oui j'y comprends rien du tout moi à cette fac :p

J'irai me renseigner aussi (si je trouve le bâtiment :) )
Merci encore !

Bonne soirée bisous !";;"O.K. super merci ! Oui j'y comprends rien du tout moi à cette fac :p

J'irai me renseigner aussi (si je trouve le bâtiment :) )
Merci encore !

Bonne soirée bisous !";"O.K. : forme lexicalisée de ""ok""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"Coucou !
C'est quand la feria de Nimes?
J'suis pas bien sure de la faire mais pourquoi pas!
Sinon oui, j'profite de ma derniere semaine de vacance!
Bon courage!
Bisoux";"Coucou !  
C'est quand la feria de Nîmes ?  
Je suis pas bien sûre de la faire mais pourquoi pas !  
Sinon oui, je profite de ma dernière semaine de vacances !  
Bon courage !  
Bisous";;"Coucou !  
C'est quand la féria de Nîmes ?  
Je suis pas bien sûre de la faire mais pourquoi pas !  
Sinon oui, je profite de ma dernière semaine de vacances !  
Bon courage !  
Bisous";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"Coucou :)
Oui ca c'est bien passe!
Alors je sais pas du tout pour jeudi soir... Non pas que je veuille pas mais je suis pas sure d'etre sur Montpel. J'y serai de sur qu'a partir de lundi prochain car je commence les cours...";"Coucou :)  
Oui ça s'est bien passé !  
Alors je sais pas du tout pour jeudi soir… Non pas que je veuille pas mais je suis pas sûre d'être sur Montpellier. J'y serai de sûre qu'à partir de lundi prochain car je commence les cours…";;"Coucou :)  
Oui ça s'est bien passé !  
Alors je sais pas du tout pour jeudi soir… Non pas que je veuille pas mais je suis pas sûre d'être sur Montpellier. J'y serai de sûre qu'à partir de lundi prochain car je commence les cours…";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;On peut se rejoindre quelque part? Tu as cours ou ?;On peut se rejoindre quelque part ? Tu as cours où ?;;On peut se rejoindre quelque part ? Tu as cours où ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"Encore moi... J'te harcele, oui oui et j'assume :)
Juste j'te tiens au courant.
On sera 4. Toi, <PRE_7>, <PRE_3> et moi a participer. On t'avance?";"Encore moi… Je te harcèle, oui oui et j'assume :)
Juste je te tiens au courant.  
On sera 4. Toi, <PRE_7>, <PRE_3> et moi à participer. On t'avance ?";;"Encore moi… Je te harcèle, oui oui et j'assume :)
Juste je te tiens au courant.  
On sera 4. Toi, <PRE_7>, <PRE_3> et moi à participer. On t'avance ?";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Dis, pour le premier midi on s'fait a manger de nous comme on avait fait y'a deux ans? Ou vous allez acheter des trucs pour le samedi midi?
Biisoux";Dis, pour le premier midi on se fait à manger de nous comme on avait fait y a deux ans ? Ou vous allez acheter des trucs pour le samedi midi ? Bisous;« de nous » pourrait être « pour nous »;Dis, pour le premier midi on se fait à manger de nous comme on avait fait il y a deux ans ? Ou vous allez acheter des trucs pour le samedi midi ? Bisous;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;"Hey hey !
J'te souhaite un tres joyeux n'anniversaire! Profite bien de ta journee !

Le <SUR_4> te souhaite aussi un tres joyeux anniv' !

Bisoux";"Hey hey !
Je te souhaite un très joyeux anniversaire ! Profite bien de ta journée !

Le <SUR_4> te souhaite aussi un très joyeux anniversaire !

Bisous";;"Hey hey !
Je te souhaite un très joyeux anniversaire ! Profite bien de ta journée !

Le <SUR_4> te souhaite aussi un très joyeux anniversaire !

Bisous";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;"Je suis desolee... J'avais pas vu l'heure et pas de portable sur moi...
Encore desolee...
Bisoux";"Je suis désolée… J'avais pas vu l'heure et pas de portable sur moi…  
Encore désolée…  
Bisous";;"Je suis désolée… J'avais pas vu l'heure et pas de portable sur moi…  
Encore désolée…  
Bisous";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;"Ah d'accord.
Ca me fait vraiment plaisir. Merci d'avoir pense a moi!
Je vous fait des Bisous a vous tous!";"Ah d'accord.
Ça me fait vraiment plaisir. Merci d'avoir pensé à moi !
Je vous fais des bisous à vous tous !";;"Ah d'accord.
Ça me fait vraiment plaisir. Merci d'avoir pensé à moi !
Je vous fais des bisous à vous tous !";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
