corpus,feature,modele_1,modele_2,pearson_r,p_value,n
Texte,profondeur_arbre_max,gsd,fsmb,0.7184,4.0956055527107395e-234,1473
Texte,profondeur_arbre_max,gsd,sequoia,0.9077,0.0,1473
Texte,profondeur_arbre_max,gsd,rhapsodie,0.8267,0.0,1473
Texte,profondeur_arbre_max,gsd,zenodo-spoken,0.8314,0.0,1473
Texte,profondeur_arbre_max,gsd,stanza,0.85,0.0,1473
Texte,profondeur_arbre_max,fsmb,sequoia,0.7342,1.1219790326923907e-249,1473
Texte,profondeur_arbre_max,fsmb,rhapsodie,0.6663,1.1424909178415814e-189,1473
Texte,profondeur_arbre_max,fsmb,zenodo-spoken,0.6807,4.4649811458999015e-201,1473
Texte,profondeur_arbre_max,fsmb,stanza,0.6584,9.409115361832305e-184,1473
Texte,profondeur_arbre_max,sequoia,rhapsodie,0.8351,0.0,1473
Texte,profondeur_arbre_max,sequoia,zenodo-spoken,0.8463,0.0,1473
Texte,profondeur_arbre_max,sequoia,stanza,0.8396,0.0,1473
Texte,profondeur_arbre_max,rhapsodie,zenodo-spoken,0.8411,0.0,1473
Texte,profondeur_arbre_max,rhapsodie,stanza,0.792,1.7316527e-317,1473
Texte,profondeur_arbre_max,zenodo-spoken,stanza,0.7914,9.1315495e-317,1473
Texte,profondeur_arbre_moy,gsd,fsmb,0.7195,3.2652889762836284e-235,1473
Texte,profondeur_arbre_moy,gsd,sequoia,0.9083,0.0,1473
Texte,profondeur_arbre_moy,gsd,rhapsodie,0.8282,0.0,1473
Texte,profondeur_arbre_moy,gsd,zenodo-spoken,0.832,0.0,1473
Texte,profondeur_arbre_moy,gsd,stanza,0.8302,0.0,1473
Texte,profondeur_arbre_moy,fsmb,sequoia,0.7351,1.512479878074317e-250,1473
Texte,profondeur_arbre_moy,fsmb,rhapsodie,0.6684,2.6893772348258482e-191,1473
Texte,profondeur_arbre_moy,fsmb,zenodo-spoken,0.6832,4.342794852879879e-203,1473
Texte,profondeur_arbre_moy,fsmb,stanza,0.6509,3.21162396091285e-178,1473
Texte,profondeur_arbre_moy,sequoia,rhapsodie,0.8361,0.0,1473
Texte,profondeur_arbre_moy,sequoia,zenodo-spoken,0.8468,0.0,1473
Texte,profondeur_arbre_moy,sequoia,stanza,0.8206,0.0,1473
Texte,profondeur_arbre_moy,rhapsodie,zenodo-spoken,0.8422,0.0,1473
Texte,profondeur_arbre_moy,rhapsodie,stanza,0.7705,6.419212609923649e-290,1473
Texte,profondeur_arbre_moy,zenodo-spoken,stanza,0.7722,5.057077520486172e-292,1473
Texte,distance_dependance_max,gsd,fsmb,0.9701,0.0,1473
Texte,distance_dependance_max,gsd,sequoia,0.9899,0.0,1473
Texte,distance_dependance_max,gsd,rhapsodie,0.9834,0.0,1473
Texte,distance_dependance_max,gsd,zenodo-spoken,0.9802,0.0,1473
Texte,distance_dependance_max,gsd,stanza,0.9288,0.0,1473
Texte,distance_dependance_max,fsmb,sequoia,0.9704,0.0,1473
Texte,distance_dependance_max,fsmb,rhapsodie,0.9706,0.0,1473
Texte,distance_dependance_max,fsmb,zenodo-spoken,0.9664,0.0,1473
Texte,distance_dependance_max,fsmb,stanza,0.9161,0.0,1473
Texte,distance_dependance_max,sequoia,rhapsodie,0.9811,0.0,1473
Texte,distance_dependance_max,sequoia,zenodo-spoken,0.9799,0.0,1473
Texte,distance_dependance_max,sequoia,stanza,0.9312,0.0,1473
Texte,distance_dependance_max,rhapsodie,zenodo-spoken,0.9856,0.0,1473
Texte,distance_dependance_max,rhapsodie,stanza,0.9302,0.0,1473
Texte,distance_dependance_max,zenodo-spoken,stanza,0.9271,0.0,1473
Texte,distance_dependance_moy,gsd,fsmb,0.6307,3.4159464951859404e-164,1473
Texte,distance_dependance_moy,gsd,sequoia,0.8308,0.0,1473
Texte,distance_dependance_moy,gsd,rhapsodie,0.7867,1.9112511970541e-310,1473
Texte,distance_dependance_moy,gsd,zenodo-spoken,0.7927,1.83059e-318,1473
Texte,distance_dependance_moy,gsd,stanza,0.8404,0.0,1473
Texte,distance_dependance_moy,fsmb,sequoia,0.8072,0.0,1473
Texte,distance_dependance_moy,fsmb,rhapsodie,0.8471,0.0,1473
Texte,distance_dependance_moy,fsmb,zenodo-spoken,0.792,1.5147875e-317,1473
Texte,distance_dependance_moy,fsmb,stanza,0.5293,3.8259330005556186e-107,1473
Texte,distance_dependance_moy,sequoia,rhapsodie,0.8604,0.0,1473
